molecule_chembl_id,canonical_smiles,standard_value
CHEMBL150826,COCCOc1cc2nncc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,50.0
CHEMBL147192,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1ccnc1,100.0
CHEMBL150825,COCCOc1cc2nncc(Nc3ccc(Cl)cc3F)c2cc1OC,63000.0
CHEMBL147138,COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OC,11000.0
CHEMBL357815,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1ccnn1,300.0
CHEMBL358672,COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OCCn1ccnn1,8100.0
CHEMBL301018,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,100000.0
CHEMBL150606,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1cncn1,500.0
CHEMBL440727,COc1cc2ncnc(Nc3cc(O)c(C)cc3F)c2cc1OC,30.0
CHEMBL147180,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCCC1,300.0
CHEMBL151067,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCc1ccsc1,800.0
CHEMBL434311,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCCN1CCOCC1,300.0
CHEMBL74850,Clc1ccc(Oc2nnc(Cc3ccncc3)c3ccccc23)cc1,60.0
CHEMBL74034,Clc1ccc(Nc2nnc(NCc3ccncc3)c3ccccc23)cc1,2600.0
CHEMBL75076,Clc1ccc(Nc2nnc(Cc3ccncc3)c3c2CCCC3)cc1,3600.0
CHEMBL369360,COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCCCN1CCOCC1,100000.0
CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,8.0
CHEMBL78303,Cc1cccc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1,40.0
CHEMBL153843,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,130.0
CHEMBL169186,COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCCCN1CCCCC1,100000.0
CHEMBL74391,Clc1ccc(Sc2nnc(Cc3ccncc3)c3ccccc23)cc1,70.0
CHEMBL77555,FC(F)(F)c1cc(Nc2nnc(Cc3ccncc3)c3ccccc23)ccc1Cl,600.0
CHEMBL433321,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccncc23)cc1,470.0
CHEMBL309331,c1ccc(-c2ccc(Nc3nnc(Cc4ccncc4)c4ccccc34)cc2)cc1,230.0
CHEMBL306707,Cc1c(Cc2ccncc2)nnc(Nc2ccc(Cl)cc2)c1C,260.0
CHEMBL75034,COc1cc(Nc2nnc(Cc3ccncc3)c3ccccc23)ccc1Cl,260.0
CHEMBL312789,Clc1ccc(Nc2nnc(Cc3ccccn3)c3ccccc23)cc1,10000.0
CHEMBL78160,CC(c1ccncc1)c1nnc(Nc2ccc(Cl)cc2)c2ccccc12,420.0
CHEMBL74143,Nc1ccc2c(Cc3ccncc3)nnc(Nc3ccc(Cl)cc3)c2c1,650.0
CHEMBL306295,Oc1cccc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1,80.0
CHEMBL75232,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1.O=C(O)CCC(=O)O,77.0
CHEMBL307476,CN(c1ccc(Cl)cc1)c1nnc(Cc2ccncc2)c2ccccc12,2300.0
CHEMBL75130,Cc1cc(Cc2nnc(Nc3ccc(Cl)cc3)c3ccccc23)cc(C)n1,10000.0
CHEMBL74587,c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,60.0
CHEMBL419458,Clc1ccc(Nc2nnc(Cc3ccncn3)c3ccccc23)cc1,760.0
CHEMBL77933,FC(F)(F)c1cc(Br)cc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1,600.0
CHEMBL74646,Fc1cc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc(C(F)(F)F)c1,350.0
CHEMBL75196,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1Cl,70.0
CHEMBL74550,Clc1ccc(Nc2nnc(Cc3ccncc3)c3cnccc23)cc1,230.0
CHEMBL306512,Cc1ccc2c(Cc3ccncc3)nnc(Nc3ccc(Cl)cc3)c2c1,3000.0
CHEMBL306284,Clc1ccc(Nc2nnc(Cc3ccncc3)c3cccnc23)cc1,1700.0
CHEMBL431006,CC(C)(C)c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,240.0
CHEMBL170984,COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCC1CCN(C)CC1,100000.0
CHEMBL75077,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ncccc23)cc1,240.0
CHEMBL74197,Cc1cc(C)cc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1,150.0
CHEMBL74848,Clc1ccc(Nc2nnc(Cc3cccnc3)c3ccccc23)cc1,9800.0
CHEMBL312526,Cc1cc(Cc2nnc(Nc3ccc(Cl)cc3)c3ccccc23)ccn1,620.0
CHEMBL75462,COc1cccc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1,330.0
CHEMBL347537,O=C(Nc1cccc(-c2cncc3ccccc23)c1)c1ccccc1NCc1ccncc1,130.0
CHEMBL196363,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,2.0
CHEMBL381207,Cc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1,170.0
CHEMBL203095,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1cnoc1,4600.0
CHEMBL383575,O=C(Nc1ccc(Cc2ccccc2)cc1)c1scnc1CCc1ccncc1,10000.0
CHEMBL201303,O=C(Nc1ccc(Oc2ccccc2)cc1)c1scnc1CCc1ccncc1,10000.0
CHEMBL425930,O=C(Nc1ccc(-c2ccccc2)cc1)c1scnc1CCc1ccncc1,10000.0
CHEMBL201713,O=C(Nc1ccc(Br)cc1)c1scnc1CCc1ccncc1,3850.0
CHEMBL370600,O=C(Nc1ccc2c(c1)OCO2)c1scnc1CCc1ccncc1,750.0
CHEMBL202153,Cc1ccc(NC(=O)c2scnc2CCc2ccncc2)c(F)c1,630.0
CHEMBL382308,Cc1ccc(NC(=O)c2scnc2CCc2cnoc2)c(F)c1,3020.0
CHEMBL202466,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1scnc1CCc1ccncc1,720.0
CHEMBL202109,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1scnc1CCc1cnoc1,5320.0
CHEMBL383215,O=C(Nc1ccc(Cl)c(Cl)c1)c1scnc1CCc1ccncc1,590.0
CHEMBL202714,O=C(Nc1ccc(Cl)c(Cl)c1)c1scnc1CCc1cnoc1,5420.0
CHEMBL202408,O=C(Nc1ccc(N2CCOCC2)cc1)c1scnc1CCc1ccncc1,2330.0
CHEMBL382647,O=C(Nc1ccc(N2CCOCC2)cc1)c1scnc1CCc1cnoc1,10000.0
CHEMBL203698,Cc1ccccc1NC(=O)c1scnc1CCc1ccncc1,10000.0
CHEMBL382184,Cc1ccccc1NC(=O)c1scnc1CCc1cnoc1,10000.0
CHEMBL380700,Cc1cccc(NC(=O)c2scnc2CCc2ccncc2)c1,4660.0
CHEMBL377921,Cc1cccc(NC(=O)c2scnc2CCc2cnoc2)c1,10000.0
CHEMBL379674,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1scnc1CCc1ccncc1,760.0
CHEMBL424672,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1scnc1CCc1cnoc1,10000.0
CHEMBL201906,CC(C)c1ccc(NC(=O)c2scnc2CCc2ccncc2)cc1,840.0
CHEMBL201659,CC(C)c1ccc(NC(=O)c2scnc2CCc2cnoc2)cc1,6410.0
CHEMBL201712,CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2ccc3ccccc3n2)cc1,10000.0
CHEMBL201014,CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2ccnc3ccccc23)cc1,5460.0
CHEMBL202384,CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2ccncc2)cc1,720.0
CHEMBL202383,CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2noc3ccccc23)cc1,10000.0
CHEMBL202234,CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2cnoc2)cc1,10000.0
CHEMBL381300,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1ccc2ccccc2n1,10000.0
CHEMBL203149,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1ccnc2ccccc12,6850.0
CHEMBL205114,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1ccncc1,310.0
CHEMBL205113,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1noc2ccccc12,10000.0
CHEMBL202011,O=C(Nc1cnc2ccccc2c1)c1ccccc1NCc1ccncc1,160.0
CHEMBL203056,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,340.0
CHEMBL206742,Cn1cnc(NCc2cccnc2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,10000.0
CHEMBL383126,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cc3ccccc3)cc2)o1,10000.0
CHEMBL206267,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Oc3ccccc3)cc2)o1,10000.0
CHEMBL205464,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(-c3ccccc3)cc2)o1,10000.0
CHEMBL379239,Cc1ccccc1Nc1nnc(-c2c(NCc3ccncc3)ncn2C)o1,10000.0
CHEMBL204312,COc1ccccc1Nc1nnc(-c2c(NCc3ccncc3)ncn2C)o1,10000.0
CHEMBL378165,Cn1cnc(NCc2cccc3ncccc23)c1-c1nnc(Nc2ccc(Cl)cc2)o1,10000.0
CHEMBL204718,Cn1cnc(NCc2ccc3ccccc3n2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,10000.0
CHEMBL206118,Cn1cnc(NCc2ccc3[nH]ncc3c2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,10000.0
CHEMBL202904,Cn1cnc(NCc2ccccn2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,10000.0
CHEMBL382672,Cn1cnc(NCCc2ccc3c(c2)OCO3)c1-c1nnc(Nc2ccc(Cl)cc2)o1,1470.0
CHEMBL205127,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cl)c(C(F)(F)F)c2)o1,510.0
CHEMBL378592,COc1ccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)cc1OC,590.0
CHEMBL204874,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cl)c(Cl)c2)o1,490.0
CHEMBL203796,COc1cccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)c1,670.0
CHEMBL203789,Cc1cccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)c1,1260.0
CHEMBL206538,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2cccc(OC(F)(F)F)c2)o1,560.0
CHEMBL380131,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(C(F)(F)F)cc2)o1,120.0
CHEMBL383255,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(OC(F)(F)F)cc2)o1,160.0
CHEMBL205884,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(OC(F)(F)Cl)cc2)o1,460.0
CHEMBL203119,CC(C)c1ccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)cc1,770.0
CHEMBL203731,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(C(C)(C)C)cc2)o1,890.0
CHEMBL203394,Cn1cnc(NCc2ccc(F)c(F)c2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,3310.0
CHEMBL205463,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Br)cc2)o1,1470.0
CHEMBL202892,Cn1cnc(NCc2ccncc2)c1-c1nnc(NCc2ccc3c(c2)OCO3)o1,440.0
CHEMBL379908,Cc1ccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)c(F)c1,590.0
CHEMBL203429,O=C(Nc1ccc(Cc2ccccc2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,10000.0
CHEMBL380503,O=C(Nc1ccc(Oc2ccccc2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,2530.0
CHEMBL382478,O=C(Nc1ccc(-c2ccccc2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,1140.0
